<proies>
x = 4, y = 23, dir = [1 -1], energie = 5.00
x = 14, y = 23, dir = [-1 0], energie = 5.00
x = 2, y = 27, dir = [0 -1], energie = 10.00
x = 19, y = 28, dir = [0 -1], energie = 10.00
x = 9, y = 18, dir = [-1 1], energie = 10.00
x = 1, y = 2, dir = [1 -1], energie = 5.00
x = 19, y = 6, dir = [0 1], energie = 5.00
x = 14, y = 16, dir = [0 0], energie = 10.00
x = 8, y = 7, dir = [-1 -1], energie = 10.00
x = 12, y = 42, dir = [1 0], energie = 5.00
x = 1, y = 33, dir = [1 -1], energie = 10.00
x = 11, y = 8, dir = [1 0], energie = 10.00
x = 8, y = 4, dir = [-1 0], energie = 10.00
x = 16, y = 12, dir = [0 1], energie = 5.00
x = 4, y = 18, dir = [1 1], energie = 10.00
x = 14, y = 1, dir = [1 1], energie = 5.00
x = 15, y = 15, dir = [0 0], energie = 5.00
x = 8, y = 3, dir = [0 0], energie = 10.00
</predateurs>
